,Week,Year,Attribute,Value
0,2,2023,W1_Comdty,7.4375
1,1,2023,W1_Comdty,7.435
2,52,2022,W1_Comdty,7.92
3,51,2022,W1_Comdty,7.76
4,50,2022,W1_Comdty,7.535
5,49,2022,W1_Comdty,7.1275
6,48,2022,W1_Comdty,7.3725
7,47,2022,W1_Comdty,7.755
8,46,2022,W1_Comdty,8.0325
9,45,2022,W1_Comdty,8.1375
10,44,2022,W1_Comdty,8.4775
11,43,2022,W1_Comdty,8.2925
12,42,2022,W1_Comdty,8.5075
13,41,2022,W1_Comdty,8.5975
14,40,2022,W1_Comdty,8.8025
15,39,2022,W1_Comdty,9.215
16,38,2022,W1_Comdty,8.805
17,37,2022,W1_Comdty,8.5975
18,36,2022,W1_Comdty,8.5325
19,35,2022,W1_Comdty,7.93
20,34,2022,W1_Comdty,7.8475
21,33,2022,W1_Comdty,7.5325
22,32,2022,W1_Comdty,8.06
23,31,2022,W1_Comdty,7.7575
24,30,2022,W1_Comdty,8.0775
25,29,2022,W1_Comdty,7.59
26,28,2022,W1_Comdty,7.7675
27,27,2022,W1_Comdty,8.7925
28,26,2022,W1_Comdty,8.3125
29,25,2022,W1_Comdty,9.2375
30,24,2022,W1_Comdty,10.3425
31,23,2022,W1_Comdty,10.7075
32,22,2022,W1_Comdty,10.4
33,21,2022,W1_Comdty,11.575
34,20,2022,W1_Comdty,11.6875
35,19,2022,W1_Comdty,11.6725
36,18,2022,W1_Comdty,10.97
37,17,2022,W1_Comdty,10.4375
38,16,2022,W1_Comdty,10.655
39,15,2022,W1_Comdty,10.965
40,14,2022,W1_Comdty,10.515
41,13,2022,W1_Comdty,9.845
42,12,2022,W1_Comdty,11.0225
43,11,2022,W1_Comdty,10.6375
44,10,2022,W1_Comdty,10.9
45,9,2022,W1_Comdty,13.48
46,8,2022,W1_Comdty,8.43
47,7,2022,W1_Comdty,7.97
48,6,2022,W1_Comdty,7.9775
49,5,2022,W1_Comdty,7.6325
50,4,2022,W1_Comdty,7.8625
51,3,2022,W1_Comdty,7.8
52,2,2022,W1_Comdty,7.415
53,1,2022,W1_Comdty,7.585
54,52,2021,W1_Comdty,7.7075
55,51,2021,W1_Comdty,8.1475
56,50,2021,W1_Comdty,7.75
57,49,2021,W1_Comdty,7.82
58,48,2021,W1_Comdty,7.945
59,47,2021,W1_Comdty,8.255
60,46,2021,W1_Comdty,8.23
61,45,2021,W1_Comdty,8.17
62,44,2021,W1_Comdty,7.665
63,43,2021,W1_Comdty,7.7275
64,42,2021,W1_Comdty,7.56
65,41,2021,W1_Comdty,7.34
66,40,2021,W1_Comdty,7.34
67,39,2021,W1_Comdty,7.5525
68,38,2021,W1_Comdty,7.2375
69,37,2021,W1_Comdty,7.0875
70,36,2021,W1_Comdty,6.75
71,35,2021,W1_Comdty,7.145
72,34,2021,W1_Comdty,7.185
73,33,2021,W1_Comdty,7.1425
74,32,2021,W1_Comdty,7.6225
75,31,2021,W1_Comdty,7.19
76,30,2021,W1_Comdty,7.0375
77,29,2021,W1_Comdty,6.84
78,28,2021,W1_Comdty,6.925
79,27,2021,W1_Comdty,6.085
80,26,2021,W1_Comdty,6.4575
81,25,2021,W1_Comdty,6.37
82,24,2021,W1_Comdty,6.6275
83,23,2021,W1_Comdty,6.8075
84,22,2021,W1_Comdty,6.8775
85,21,2021,W1_Comdty,6.635
86,20,2021,W1_Comdty,6.7425
87,19,2021,W1_Comdty,7.2725
88,18,2021,W1_Comdty,7.735
89,17,2021,W1_Comdty,7.425
90,16,2021,W1_Comdty,7.1025
91,15,2021,W1_Comdty,6.525
92,14,2021,W1_Comdty,6.3875
93,13,2021,W1_Comdty,6.11
94,12,2021,W1_Comdty,6.1325
95,11,2021,W1_Comdty,6.27
96,10,2021,W1_Comdty,6.3175
97,9,2021,W1_Comdty,6.54
98,8,2021,W1_Comdty,6.55
99,7,2021,W1_Comdty,6.5075
100,6,2021,W1_Comdty,6.3675
101,5,2021,W1_Comdty,6.4125
102,4,2021,W1_Comdty,6.63
103,3,2021,W1_Comdty,6.345
104,2,2021,W1_Comdty,6.755
105,1,2021,W1_Comdty,6.3875
