Dates,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR
1/13/2023,743.75,MAR 23,843.75,MAR 23,912.25,MAR 23
1/6/2023,743.5,MAR 23,832,MAR 23,901.75,MAR 23
12/30/2022,792,MAR 23,888,MAR 23,938.75,MAR 23
12/23/2022,776,MAR 23,874.75,MAR 23,931.75,MAR 23
12/16/2022,753.5,MAR 23,844,MAR 23,909.5,MAR 23
12/9/2022,712.75,DEC 22,850.75,DEC 22,927.5,DEC 22
12/2/2022,737.25,DEC 22,882,DEC 22,939.75,DEC 22
11/25/2022,775.5,DEC 22,922,DEC 22,957.25,DEC 22
11/18/2022,803.25,DEC 22,934.25,DEC 22,951.5,DEC 22
11/11/2022,813.75,DEC 22,943.5,DEC 22,945.75,DEC 22
11/4/2022,847.75,DEC 22,953.25,DEC 22,954.5,DEC 22
10/28/2022,829.25,DEC 22,925,DEC 22,945,DEC 22
10/21/2022,850.75,DEC 22,948.25,DEC 22,961.5,DEC 22
10/14/2022,859.75,DEC 22,952.25,DEC 22,954.25,DEC 22
10/7/2022,880.25,DEC 22,968.75,DEC 22,968,DEC 22
9/30/2022,921.5,DEC 22,991.5,DEC 22,982,DEC 22
9/23/2022,880.5,DEC 22,950.5,DEC 22,949.25,DEC 22
9/16/2022,859.75,DEC 22,935.25,DEC 22,938.75,DEC 22
9/9/2022,853.25,SEP 22,929.25,SEP 22,909.75,SEP 22
9/2/2022,793,SEP 22,871.5,SEP 22,872.25,SEP 22
8/26/2022,784.75,SEP 22,883.25,SEP 22,894.5,SEP 22
8/19/2022,753.25,SEP 22,844.75,SEP 22,874.75,SEP 22
8/12/2022,806,SEP 22,889.25,SEP 22,919.5,SEP 22
8/5/2022,775.75,SEP 22,848.25,SEP 22,886.5,SEP 22
7/29/2022,807.75,SEP 22,874.5,SEP 22,906,SEP 22
7/22/2022,759,SEP 22,820.25,SEP 22,871,SEP 22
7/15/2022,776.75,SEP 22,837.5,SEP 22,906.75,SEP 22
7/8/2022,879.25,JUL 22,950.75,JUL 22,968.25,JUL 22
7/1/2022,831.25,JUL 22,911,JUL 22,941,JUL 22
6/24/2022,923.75,JUL 22,992.5,JUL 22,1070.75,JUL 22
6/17/2022,1034.25,JUL 22,1105,JUL 22,1169.5,JUL 22
6/10/2022,1070.75,JUL 22,1162.5,JUL 22,1221.5,JUL 22
6/3/2022,1040,JUL 22,1121,JUL 22,1191.75,JUL 22
5/27/2022,1157.5,JUL 22,1235.25,JUL 22,1304.75,JUL 22
5/20/2022,1168.75,JUL 22,1252.75,JUL 22,1279,JUL 22
5/13/2022,1167.25,MAY 22,1252.75,MAY 22,1333.5,MAY 22
5/6/2022,1097,MAY 22,1159.25,MAY 22,1204.5,MAY 22
4/29/2022,1043.75,MAY 22,1094.25,MAY 22,1161.25,MAY 22
4/22/2022,1065.5,MAY 22,1142.75,MAY 22,1160.25,MAY 22
4/15/2022,1096.5,MAY 22,1154,MAY 22,1144.5,MAY 22
4/8/2022,1051.5,MAY 22,1106.75,MAY 22,1127.25,MAY 22
4/1/2022,984.5,MAY 22,1013,MAY 22,1065.25,MAY 22
3/25/2022,1102.25,MAY 22,1110.75,MAY 22,1104.25,MAY 22
3/18/2022,1063.75,MAY 22,1070.5,MAY 22,1060.25,MAY 22
3/11/2022,1090,MAR 22,1075.75,MAR 22,1099.25,MAR 22
3/4/2022,1348,MAR 22,1200.75,MAR 22,1124.75,MAR 22
2/25/2022,843,MAR 22,886.75,MAR 22,952.25,MAR 22
2/18/2022,797,MAR 22,835.25,MAR 22,960.75,MAR 22
2/11/2022,797.75,MAR 22,824.25,MAR 22,961.5,MAR 22
2/4/2022,763.25,MAR 22,785.75,MAR 22,913,MAR 22
1/28/2022,786.25,MAR 22,802.25,MAR 22,920.25,MAR 22
1/21/2022,780,MAR 22,793.25,MAR 22,936,MAR 22
1/14/2022,741.5,MAR 22,745,MAR 22,878.25,MAR 22
1/7/2022,758.5,MAR 22,775,MAR 22,923.25,MAR 22
