,Location,Attribute,Value,Year,Week
0,Rexburg / Ririe,Barley_Feed,,2022.0,48.0
1,Idaho Falls,Barley_Feed,,2022.0,48.0
2,Blackfoot / Pocatello,Barley_Feed,,2022.0,48.0
3,Grace / Soda Springs,Barley_Feed,13.25,2022.0,48.0
4,Burley / Rupert,Barley_Feed,,2022.0,48.0
7,Meridian,Barley_Feed,12.5,2022.0,48.0
8,Nezperce / Craigmont,Barley_Feed,10.46,2022.0,48.0
9,Lewiston,Barley_Feed,10.98,2022.0,48.0
10,Rexburg / Ririe,Barley_Feed,,2021.0,33.0
11,Idaho Falls,Barley_Feed,,2021.0,33.0
12,Blackfoot / Pocatello,Barley_Feed,,2021.0,33.0
13,Grace / Soda Springs,Barley_Feed,9.2,2021.0,33.0
14,Burley / Rupert,Barley_Feed,10.75,2021.0,33.0
17,Meridian,Barley_Feed,12.0,2021.0,33.0
18,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,33.0
19,Lewiston,Barley_Feed,8.73,2021.0,33.0
21,Rexburg / Ririe,Barley_Feed,14.0,2022.0,11.0
22,Idaho Falls,Barley_Feed,,2022.0,11.0
23,Blackfoot / Pocatello,Barley_Feed,,2022.0,11.0
24,Grace / Soda Springs,Barley_Feed,15.0,2022.0,11.0
25,Burley / Rupert,Barley_Feed,,2022.0,11.0
28,Meridian,Barley_Feed,12.5,2022.0,11.0
29,Nezperce / Craigmont,Barley_Feed,11.71,2022.0,11.0
30,Lewiston,Barley_Feed,12.23,2022.0,11.0
32,Rexburg / Ririe,Barley_Feed,12.5,2021.0,49.0
33,Idaho Falls,Barley_Feed,,2021.0,49.0
34,Blackfoot / Pocatello,Barley_Feed,,2021.0,49.0
35,Grace / Soda Springs,Barley_Feed,10.0,2021.0,49.0
36,Burley / Rupert,Barley_Feed,11.25,2021.0,49.0
39,Meridian,Barley_Feed,12.0,2021.0,49.0
40,Nezperce / Craigmont,Barley_Feed,10.71,2021.0,49.0
41,Lewiston,Barley_Feed,11.23,2021.0,49.0
43,Rexburg / Ririe,Barley_Feed,6.25,2020.0,44.0
44,Idaho Falls,Barley_Feed,,2020.0,44.0
45,Blackfoot / Pocatello,Barley_Feed,,2020.0,44.0
46,Grace / Soda Springs,Barley_Feed,,2020.0,44.0
47,Burley / Rupert,Barley_Feed,,2020.0,44.0
50,Nampa / Weiser,Barley_Feed,,2020.0,44.0
51,Nezperce / Craigmont,Barley_Feed,4.71,2020.0,44.0
52,Lewiston,Barley_Feed,5.23,2020.0,44.0
54,Rexburg / Ririe,Barley_Feed,10.5,2021.0,34.0
55,Idaho Falls,Barley_Feed,,2021.0,34.0
56,Blackfoot / Pocatello,Barley_Feed,,2021.0,34.0
57,Grace / Soda Springs,Barley_Feed,9.2,2021.0,34.0
58,Burley / Rupert,Barley_Feed,10.75,2021.0,34.0
61,Meridian,Barley_Feed,12.0,2021.0,34.0
62,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,34.0
63,Lewiston,Barley_Feed,8.73,2021.0,34.0
65,Rexburg / Ririe,Barley_Feed,13.25,2022.0,2.0
66,Idaho Falls,Barley_Feed,,2022.0,2.0
67,Blackfoot / Pocatello,Barley_Feed,,2022.0,2.0
68,Grace / Soda Springs,Barley_Feed,13.5,2022.0,2.0
69,Burley / Rupert,Barley_Feed,11.5,2022.0,2.0
72,Meridian,Barley_Feed,12.0,2022.0,2.0
73,Nezperce / Craigmont,Barley_Feed,11.21,2022.0,2.0
74,Lewiston,Barley_Feed,11.73,2022.0,2.0
76,Rexburg / Ririe,Barley_Feed,11.25,2021.0,32.0
77,Idaho Falls,Barley_Feed,,2021.0,32.0
78,Blackfoot / Pocatello,Barley_Feed,,2021.0,32.0
79,Grace / Soda Springs,Barley_Feed,9.2,2021.0,32.0
80,Burley / Rupert,Barley_Feed,11.25,2021.0,32.0
83,Meridian,Barley_Feed,12.0,2021.0,32.0
84,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,32.0
85,Lewiston,Barley_Feed,8.73,2021.0,32.0
87,Rexburg / Ririe,Barley_Feed,12.0,2022.0,33.0
88,Idaho Falls,Barley_Feed,,2022.0,33.0
89,Blackfoot / Pocatello,Barley_Feed,,2022.0,33.0
90,Grace / Soda Springs,Barley_Feed,12.25,2022.0,33.0
91,Burley / Rupert,Barley_Feed,,2022.0,33.0
94,Meridian,Barley_Feed,12.5,2022.0,33.0
95,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,33.0
96,Lewiston,Barley_Feed,10.23,2022.0,33.0
98,Rexburg / Ririe,Barley_Feed,14.5,2022.0,49.0
99,Idaho Falls,Barley_Feed,,2022.0,49.0
100,Blackfoot / Pocatello,Barley_Feed,,2022.0,49.0
101,Grace / Soda Springs,Barley_Feed,13.25,2022.0,49.0
102,Burley / Rupert,Barley_Feed,,2022.0,49.0
105,Meridian,Barley_Feed,12.5,2022.0,49.0
106,Nezperce / Craigmont,Barley_Feed,10.46,2022.0,49.0
107,Lewiston,Barley_Feed,10.98,2022.0,49.0
108,Rexburg / Ririe,Barley_Feed,7.0,2020.0,49.0
109,Idaho Falls,Barley_Feed,,2020.0,49.0
110,Blackfoot / Pocatello,Barley_Feed,,2020.0,49.0
111,Grace / Soda Springs,Barley_Feed,6.75,2020.0,49.0
112,Burley / Rupert,Barley_Feed,,2020.0,49.0
115,Nampa / Weiser,Barley_Feed,,2020.0,49.0
116,Nezperce / Craigmont,Barley_Feed,4.96,2020.0,49.0
117,Lewiston,Barley_Feed,5.48,2020.0,49.0
119,Rexburg / Ririe,Barley_Feed,,2020.0,45.0
120,Idaho Falls,Barley_Feed,,2020.0,45.0
121,Blackfoot / Pocatello,Barley_Feed,,2020.0,45.0
